alphabet,threshold,method,TPR,TNR,PPV,NPV,FNR,FPR,FDR,FOR,ACC,F1,MCC,aaindex,selected_sites,feature_num
3-Robson76,0.8,mlp,0.39,0.95,0.8,0.74,0.61,0.05,0.2,1.24,0.75,0.53,0.43,"FAUJ880105, CHAM810101, ANDN920101, VENT840101","[93, 140]",8
10-Thomas96,0.8,logistic regression,0.35,0.97,0.85,0.73,0.65,0.03,0.15,1.63,0.75,0.49,0.43,"ANDN920101, CHAM830103, FAUJ880112","[93, 140]",6
12-Mirny99,0.8,random forest,0.35,0.97,0.85,0.73,0.65,0.03,0.15,1.63,0.75,0.49,0.43,"ANDN920101, CHAM830103",[140],2
14b-Prlic SDM17 2000,0.8,svc,0.42,0.93,0.77,0.75,0.58,0.07,0.23,1.07,0.75,0.54,0.43,"RICJ880106, FINA910102, CHAM830107, BEGF750103, LEVM760107, CHAM830101, CHAM820102","[34, 81, 93, 188, 266]",35
19-Liu 2002,0.8,random forest,0.35,0.97,0.85,0.73,0.65,0.03,0.15,1.63,0.75,0.49,0.43,"ANDN920101, CHAM830103",[140],2
30-Solis GBMR4 2009,0.8,random forest,0.32,0.98,0.9,0.73,0.68,0.02,0.1,1.99,0.75,0.47,0.43,"ANDN920101, KLEP840101, MEIH800101","[165, 251, 270]",9
Polarity,0.8,random forest,0.34,0.92,0.7,0.72,0.66,0.08,0.3,1.36,0.72,0.46,0.33,"ANDN920101, FAUJ880111, KLEP840101, VENT840101","[81, 93, 266]",12
SE-B(8),0.8,random forest,0.34,0.92,0.7,0.72,0.66,0.08,0.3,1.35,0.72,0.46,0.33,"FAUJ880105, GRAR740103, VENT840101, CHAM830103","[81, 93, 266]",12
5-Dickerson83,0.8,random forest,0.34,0.92,0.7,0.72,0.66,0.08,0.3,1.36,0.72,0.46,0.33,"ANDN920101, CHAM830104, FAUJ880111, KLEP840101","[81, 93, 266]",12
14a-Prlic SDM12 2000,0.8,mlp,0.3,0.94,0.73,0.71,0.7,0.06,0.27,1.69,0.72,0.43,0.33,"FAUJ880111, CHAM830104, ANDN920101, FAUJ880112, BEGF750103, CHAM830108","[34, 81, 93, 266]",24
15a-Solis(G) 2000,0.8,svc,0.29,0.95,0.76,0.71,0.71,0.05,0.24,1.84,0.72,0.42,0.34,"CHAM830105, BEGF750101, CHAM830103, NOZY710101, BEGF750102, FAUJ880111, CHAM820102","[34, 81, 93, 266]",28
15b-Solis(D) 2000,0.8,random forest,0.34,0.92,0.7,0.72,0.66,0.08,0.3,1.34,0.72,0.46,0.33,"RACS820109, BEGF750102, VENT840101, FAUJ880111, ROSM880103","[81, 93, 266]",15
29-Etchebest 2007,0.8,random forest,0.34,0.92,0.7,0.72,0.66,0.08,0.3,1.35,0.72,0.46,0.33,"RICJ880101, ANDN920101, LEVM760107, VENT840101, QIAN880116","[81, 93, 266]",15
Hyrophobic,0.8,svc,0.27,0.95,0.73,0.7,0.73,0.05,0.27,2.02,0.71,0.39,0.31,"ANDN920101, FAUJ880112, KLEP840101, MAXF760101","[81, 266]",8
17-Rogov 2001,0.8,random forest,0.33,0.92,0.69,0.72,0.67,0.08,0.31,1.39,0.71,0.45,0.32,"CHAM830104, ANDN920101, CHAM830103","[81, 93]",6
24-Kosiol 2003,0.8,svc,0.28,0.93,0.69,0.7,0.72,0.07,0.31,1.78,0.7,0.4,0.29,"ANDN920101, KLEP840101",[93],2
27-Melo 2005,0.8,svc,0.28,0.93,0.69,0.7,0.72,0.07,0.31,1.78,0.7,0.4,0.29,"ANDN920101, CHAM830103, CHAM830104, KLEP840101",[93],4
