alphabet,threshold,method,TPR,TNR,PPV,NPV,FNR,FPR,FDR,FOR,ACC,F1,MCC,aaindex,selected_sites,feature_num
25-Weathers 2004,0.5,random forest,0.9,0.89,0.9,0.88,0.1,0.11,0.1,0.11,0.89,0.9,0.78,"CHAM830107, RICJ880109, FAUJ880111, VENT840101, FASG760102","[49, 61, 82, 120, 123, 130, 132, 134, 136, 143, 144, 154, 155, 156, 157, 171, 188, 192, 196, 275, 277]",105
Standard,0.5,mlp,0.87,0.88,0.9,0.86,0.13,0.12,0.1,0.13,0.88,0.88,0.75,"QIAN880137, KARS160108, GARJ730101, RICJ880105, MITS020101, FAUJ880109, NOZY710101","[123, 132, 134, 143, 144, 155, 157, 171, 188, 261, 275]",77
SE-B(8),0.5,random forest,0.88,0.88,0.89,0.86,0.12,0.12,0.11,0.13,0.88,0.88,0.75,"FAUJ880105, FINA910101, VENT840101, FAUJ880111, CHAM830103, NOZY710101","[120, 123, 132, 134, 136, 143, 144, 154, 156, 157, 171, 188, 189, 192, 275, 277]",96
6-Taylor86,0.5,mlp,0.88,0.88,0.9,0.86,0.12,0.12,0.1,0.12,0.88,0.89,0.76,"FINA910104, KARS160120, QIAN880117, VENT840101, FAUJ880112, CHAM830103, FAUJ880111","[82, 132, 134, 143, 144, 155, 188, 192, 261, 275, 277]",77
14a-Prlic SDM12 2000,0.5,mlp,0.89,0.86,0.88,0.87,0.11,0.14,0.12,0.11,0.88,0.89,0.75,"MUNV940101, CHAM830103, RICJ880108, CHOP780209, FAUJ880112","[120, 123, 132, 134, 136, 143, 144, 154, 156, 171, 188, 189, 192, 275, 277]",75
15a-Solis(G) 2000,0.5,random forest,0.89,0.86,0.89,0.87,0.11,0.14,0.11,0.11,0.88,0.89,0.75,"JANJ790101, VENT840101, RICJ880112, LEVM760107","[120, 123, 132, 134, 136, 143, 144, 154, 156, 158, 171, 188, 192, 261, 275, 277]",64
21-Fan 2003,0.5,mlp,0.9,0.87,0.89,0.88,0.1,0.13,0.11,0.1,0.88,0.89,0.77,"CHAM830104, CHAM830107, FINA910102, CHAM830103, FINA910104, CHOP780215, FAUJ880112","[82, 123, 132, 134, 143, 144, 155, 188, 192, 275, 277]",77
23a-Edgar Se-B 2003,0.5,mlp,0.88,0.87,0.89,0.86,0.12,0.13,0.11,0.12,0.88,0.89,0.75,"RICJ880113, FAUJ880105, CHAM830107, CHAM830103, FAUJ880111","[82, 123, 134, 144, 155, 157, 171, 188, 275, 277]",50
26-Anderson 2004,0.5,svc,0.86,0.9,0.92,0.85,0.14,0.1,0.08,0.14,0.88,0.89,0.77,"BEGF750101, SUEM840102, LEVM760106, GOLD730101, VENT840101","[82, 120, 123, 134, 143, 154, 155, 157, 171, 275]",50
28-Lenckowski 2007,0.5,mlp,0.88,0.88,0.9,0.86,0.12,0.12,0.1,0.13,0.88,0.89,0.76,"CHAM830106, CHAM830103, CHAM830108, FAUJ880105, FAUJ880112, KLEP840101","[82, 134, 144, 155, 157, 171, 188, 277]",48
29-Etchebest 2007,0.5,random forest,0.88,0.88,0.9,0.87,0.12,0.12,0.1,0.12,0.88,0.89,0.77,"GEIM800105, CHAM830103, CHAM830106, CHAM830105, FINA910104, VENT840101, PUNT030101, CHAM830108","[120, 123, 132, 134, 136, 143, 144, 154, 156, 157, 171, 188, 189, 192, 225, 261, 275, 277]",144
Van Der Waals Volume,0.5,mlp,0.86,0.89,0.9,0.84,0.14,0.11,0.1,0.15,0.87,0.88,0.74,"ANDN920101, CHAM830104, FAUJ880111, MONM990201","[82, 134, 136, 144, 155, 156, 157, 188, 192, 275]",40
Polarizability,0.5,mlp,0.86,0.89,0.9,0.84,0.14,0.11,0.1,0.15,0.87,0.88,0.74,"ANDN920101, FAUJ880111","[82, 134, 136, 144, 155, 156, 157, 188, 192, 275]",20
2-Lehninger70,0.5,random forest,0.87,0.86,0.88,0.85,0.13,0.14,0.12,0.13,0.87,0.88,0.74,"CHAM830104, ANDN920101, FAUJ880112, FAUJ880109, CHAM830103","[61, 82, 123, 130, 132, 134, 143, 144, 155, 156, 157, 171, 188, 196]",70
3-Robson76,0.5,mlp,0.85,0.88,0.9,0.84,0.15,0.12,0.1,0.16,0.87,0.87,0.73,"VENT840101, FAUJ880109, NOZY710101, FAUJ880105, CHAM830107","[82, 123, 134, 143, 155, 157, 171]",35
8-Crippen90,0.5,mlp,0.86,0.86,0.88,0.84,0.14,0.14,0.12,0.14,0.86,0.87,0.73,"ANDN920101, CHAM830103, CHAM830107, FAUJ880103, KLEP840101","[61, 82, 120, 123, 130, 132, 134, 143, 144, 155, 156, 157, 171, 189, 196, 261, 275]",85
11-Riddle97,0.5,mlp,0.85,0.88,0.9,0.83,0.15,0.12,0.1,0.16,0.86,0.87,0.73,"JANJ790102, CHAM830103, FAUJ880105, FAUJ880112, BEGF750102","[61, 82, 120, 123, 134, 143, 155, 156, 157, 261]",50
13-Wang99,0.5,mlp,0.85,0.88,0.9,0.83,0.15,0.12,0.1,0.16,0.86,0.87,0.73,"JANJ790102, CHAM830103, FAUJ880105, FAUJ880112, BEGF750102","[61, 82, 120, 123, 134, 143, 155, 156, 157, 261]",50
Polarity,0.5,mlp,0.85,0.86,0.88,0.83,0.15,0.14,0.12,0.16,0.85,0.86,0.71,"ANDN920101, FAUJ880111, KLEP840101, VENT840101","[120, 123, 132, 134, 136, 143, 154, 156, 171, 188, 192, 261, 275, 277]",56
5-Dickerson83,0.5,svc,0.84,0.86,0.88,0.82,0.16,0.14,0.12,0.16,0.85,0.86,0.7,"ANDN920101, CHAM830104, FAUJ880111, KLEP840101","[120, 123, 132, 134, 143, 154, 156, 171, 188, 192, 261, 275, 277]",52
12-Mirny99,0.5,mlp,0.86,0.85,0.87,0.83,0.14,0.15,0.13,0.15,0.85,0.86,0.7,"CHAM830103, ANDN920101, BEGF750102, NOZY710101","[82, 123, 134, 143, 155]",20
14b-Prlic SDM17 2000,0.5,mlp,0.86,0.84,0.86,0.84,0.14,0.16,0.14,0.14,0.85,0.86,0.7,"QIAN880137, MIYS990102, LEVM760106, CHAM830105, CHAM830103, RACS820101","[123, 132, 134, 144, 171, 188, 261, 275]",48
15b-Solis(D) 2000,0.5,random forest,0.84,0.86,0.87,0.82,0.16,0.14,0.13,0.17,0.85,0.86,0.7,"FAUJ880109, VENT840101, ROSM880103, FAUJ880105, FAUJ880111, CHOP780204","[120, 134, 143, 144, 156, 157, 158, 171, 188, 189, 225, 261, 275]",78
10-Thomas96,0.5,mlp,0.84,0.85,0.87,0.81,0.16,0.15,0.13,0.17,0.84,0.85,0.68,"ANDN920101, VENT840101, FAUJ880112, CHAM830103","[61, 82, 134, 143, 155, 157, 188]",28
17-Rogov 2001,0.5,mlp,0.83,0.86,0.87,0.81,0.17,0.14,0.13,0.18,0.84,0.85,0.69,"FAUJ880109, CHAM830103, FAUJ880111, VENT840101, NOZY710101, CHAM830105","[134, 136, 143, 144, 154, 156, 157, 171, 188, 189]",60
19-Liu 2002,0.5,mlp,0.83,0.86,0.88,0.81,0.17,0.14,0.12,0.18,0.84,0.85,0.69,"CHAM830103, ANDN920101, FAUJ880112, FAUJ880109","[61, 82, 134, 143, 155, 157, 188]",28
Hyrophobic,0.5,mlp,0.81,0.85,0.86,0.8,0.19,0.15,0.14,0.2,0.83,0.84,0.66,"ANDN920101, FAUJ880112, KLEP840101, MAXF760101","[120, 123, 132, 134, 143, 156, 171, 188, 192, 261, 275, 277]",48
27-Melo 2005,0.5,random forest,0.82,0.84,0.86,0.8,0.18,0.16,0.14,0.19,0.83,0.84,0.66,"CHAM830103, KLEP840101, PALJ810110","[120, 123, 130, 134, 136, 143, 154, 156, 171]",27
30-Solis GBMR4 2009,0.5,mlp,0.8,0.8,0.82,0.78,0.2,0.2,0.18,0.21,0.8,0.81,0.6,"ANDN920101, FAUJ880112, KLEP840101, MEIH800101, VENT840101","[120, 123, 134, 136, 143, 154, 156, 171]",40
18-Ceiplak 2001,0.5,svc,0.75,0.82,0.83,0.73,0.25,0.18,0.17,0.28,0.78,0.78,0.56,"CHAM830107, VENT840101, ANDN920101, CHAM830105","[61, 154, 155, 156]",16
24-Kosiol 2003,0.5,mlp,0.71,0.77,0.79,0.69,0.29,0.23,0.21,0.32,0.74,0.74,0.48,"ANDN920101, KLEP840101","[120, 136, 143, 156]",8
